Date,Issue Name,Code,Market Segment,Reason
"Dec. 30, 2023","RUDEN HOLDINGS CO.,Ltd.",1400,Growth,"The Exchange deems that the improvement can no longer be expected in the internal management system, etc. of a listed company before the listed company submits the Written Confirmation of Internal Management System."
"Dec. 28, 2023",SEIKO PMC CORPORATION,4963,Prime,Reverse stock split
"Dec. 21, 2023",DAIKEN CORPORATION,7905,Prime,Reverse stock split
"Dec. 20, 2023",TOSHIBA CORPORATION,6502,Prime,Reverse stock split
"Dec. 13, 2023","ROCK PAINT CO.,LTD.",4621,Standard,Reverse stock split
"Dec. 01, 2023",ITOCHU Techno-Solutions Corporation,4739,Prime,Reverse stock split
"Nov. 27, 2023","HCS HOLDINGS CO.,LTD.",4200,Standard,"Acquisition by a demand for share, etc. cash-out"
"Nov. 01, 2023","SANEI ARCHITECTURE PLANNING CO.,LTD.",3228,Prime,"Acquisition by a demand for share, etc. cash-out"
"Oct. 30, 2023","TOKYO NISSAN COMPUTER SYSTEM CO.,LTD",3316,Standard,"Acquisition by a demand for share, etc. cash-out"
"Oct. 27, 2023","AmidA Holdings Co.,Ltd.",7671,Growth,"Acquisition by a demand for share, etc. cash-out"
"Oct. 27, 2023",PC DEPOT CORPORATION,7618,Prime,Reverse stock split
"Oct. 26, 2023","KYODEN COMPANY,LIMITED",6881,Standard,"Acquisition by a demand for share, etc. cash-out"
"Oct. 25, 2023","LONGLIFE HOLDING Co.,Ltd.",4355,Standard,Reverse stock split
"Oct. 18, 2023",ARTERIA Networks Corporation,4423,Prime,Reverse stock split
"Sep. 28, 2023","SBI Shinsei Bank,Limited",8303,Standard,Reverse stock split
"Sep. 28, 2023",PROPERTY AGENT Inc.,3464,Prime,Becoming a wholly owned subsidiary of MIGALO HOLDINGS Inc.
"Sep. 28, 2023","Nippon Piston Ring Co.,Ltd.",6461,Prime,Becoming a wholly owned subsidiary of NPR-RIKEN CORPORATION
"Sep. 28, 2023",RIKEN CORPORATION,6462,Prime,Becoming a wholly owned subsidiary of NPR-RIKEN CORPORATION
"Sep. 28, 2023",NISSO CORPORATION,6569,Prime,"Becoming a wholly owned subsidiary of NISSO HOLDINGS Co.,Ltd."
"Sep. 28, 2023","The Bank of Kyoto,Ltd.",8369,Prime,"Becoming a wholly owned subsidiary of Kyoto Financial Group,Inc."
"Sep. 26, 2023","BROCCOLI Co.,Ltd.",2706,Standard,Reverse stock split
"Aug. 30, 2023","ARCLAND SERVICE HOLDINGS CO.,LTD.",3085,Prime,Becoming a wholly owned subsidiary of ARCLANDS CORPORATION
"Aug. 21, 2023","SAKAI TRADING CO.,LTD.",9967,Standard,"Acquisition by a demand for share, etc. cash-out"
"Aug. 04, 2023","DDS,Inc.",3782,Growth,"The Exchange deems that the improvement can no longer be expected in the internal management system, etc. of a listed company before the listed company submits the Written Confirmation of Internal Management System."
"Jul. 28, 2023","Interworks,Inc.",6032,Standard,Merging with Confidence Inc.
"Jul. 27, 2023","Relia,Inc.",4708,Prime,"Acquisition by a demand for share, etc. cash-out"
"Jul. 19, 2023",SHL-JAPAN Ltd.,4327,Standard,Reverse stock split
"Jun. 29, 2023","Nippon Koei Co.,Ltd.",1954,Prime,"Becoming a wholly owned subsidiary of Integrated Design & Engineering Holdings Co., Ltd."
"Jun. 29, 2023",Impact HD Inc.,6067,Growth,Reverse stock solit
"Jun. 29, 2023",Metaps Inc.,6172,Growth,Reverse stock split
"Jun. 21, 2023",NIPPON STEEL TRADING CORPORATION,9810,Prime,Reverse stock split
"Jun. 19, 2023","NITTO KAKO CO.,LTD.",5104,Standard,Reverse stock split
"Jun. 12, 2023",IHARA SCIENCE CORPORATION,5999,Standard,Reverse stock split
"Jun. 09, 2023","IWASAKI ELECTRIC CO.,LTD.",6924,Prime,Reverse stock split
"Jun. 05, 2023",WOW WORLD GROUP Inc.,5128,Prime,Reverse stock split
"May. 30, 2023","THE NAGANO BANK,LTD.",8521,Standard,"Becoming a wholly owned subsidiary of The Hachijuni Bank,Ltd."
"May. 30, 2023",KANEMATSU SUSTECH CORPORATION,7961,Standard,Reverse stock split
"May. 19, 2023",Kabushiki Kaisha Seiyoken.,9734,Standard,Reverse stock split
"May. 10, 2023",CASSINA IXC.Ltd.,2777,Standard,"Acquisition by a demand for share, etc. cash-out"
"May. 02, 2023",KANEMATSU ELECTRONICS LTD.,8096,Prime,"Acquisition by a demand for share, etc. cash-out"
"Apr. 30, 2023",Asia Development Capital Co.Ltd.,9318,Standard,"The Exchange deems that the internal management system, etc. of the listed company have not been improved"
"Apr. 27, 2023","TECHNO ASSOCIE Co.,Ltd.",8249,Standard,"Acquisition by a demand for share, etc. cash-out"
"Apr. 27, 2023","Nissin Electric Co.,Ltd.",6641,Prime,"Acquisition by a demand for share, etc. cash-out"
"Mar. 30, 2023",KnowledgeSuite Inc.,3999,Growth,Becoming a wholly owned subsidiary of BBD Initiative Inc.
"Mar. 30, 2023","NIPPON KANZAI Co.,Ltd.",9728,Prime,"Becoming a wholly owned subsidiary of NIPPON KANZAI Holdings Co.,Ltd."
"Mar. 29, 2023","Nichi-Iko Pharmaceutical Co.,Ltd.",4541,Prime,Reverse stock split
"Mar. 22, 2023","Sumitomo Precision Products Co.,Ltd.",6355,Standard,Reverse stock split
"Mar. 17, 2023",CONEXIO Corporation,9422,Prime,"Acquisition by a demand for share, etc. cash-out"
"Mar. 16, 2023","CHUO KAGAKU CO.,LTD.",7895,Standard,"Acquisition by a demand for share, etc. cash-out"
"Mar. 06, 2023","Toshin Group co.,ltd.",2761,Standard,Reverse stock split
"Mar. 01, 2023","ipet Holdings,Inc.",7339,Growth,"Acquisition by a demand for share, etc. cash-out"
"Feb. 27, 2023",NIDEC OKK CORPORATION,6205,Standard,Becoming a wholly owned subsidiary of NIDEC CORPORATION
"Feb. 24, 2023","Hitachi Transport System,Ltd.",9086,Prime,Reverse stock split
"Feb. 24, 2023","PLENUS Co.,Ltd.",9945,Prime,Reverse stock split
"Feb. 07, 2023","Sasakura Engineering Co.,Ltd.",6303,Standard,"Acquisition by a demand for share, etc. cash-out"
