Date,Issue Name,Code,Market Segment,Reason
"Dec. 29, 2022","TOKYU RECREATION CO.,LTD.",9631,Standard,Becoming a wholly owned subsidiary of TOKYU CORPORATION
"Dec. 29, 2022","Hitachi Metals,Ltd.",5486,Prime,Reverse stock split
"Dec. 26, 2022",ALBERT Inc.,3906,Growth,"Acquisition by a demand for share, etc. cash-out"
"Dec. 22, 2022","Shinoken Group Co.,Ltd.",8909,Standard,Reverse stock split
"Dec. 21, 2022","SOKO SEIREN CO.,LTD.",3578,Standard,Reverse stock split
"Dec. 20, 2022","HONDA TSUSHIN KOGYO CO.,LTD.",6826,Prime,Reverse stock split
"Dec. 16, 2022",Net Marketing Co.Ltd.,6175,Standard,Reverse stock split
"Dec. 13, 2022","TOA OIL COMPANY,LIMITED",5008,Standard,"Acquisition by a demand for share, etc. cash-out"
"Nov. 29, 2022",UNIDEN HOLDINGS CORPORATION,6815,Prime,Reverse stock split
"Nov. 11, 2022","Nissui Pharmaceutical Co.,Ltd.",4550,Prime,Reverse stock split
"Nov. 09, 2022",SI Holdings plc,7070,Growth,Reverse stock split
"Oct. 31, 2022","PiPEDO HD,Inc.",3919,Standard,Reverse stock split
"Oct. 28, 2022","Terilogy Co.,Ltd.",3356,Standard,Becoming a wholly owned subsidiary of Terilogy Holdings Corporation
"Sep. 29, 2022",WOW WORLD Inc.,2352,Prime,Becoming a wholly owned subsidiary of WOW WORLD GROUP Inc.
"Sep. 29, 2022","INEST,Inc. (The company name will be changed to INT,Inc. on Oct. 03, 2022)",3390,Standard,"Becoming a wholly owned subsidiary of INEST,Inc."
"Sep. 29, 2022","KYORITSU PRINTING CO.,LTD.",7838,Standard,"Becoming a wholly owned subsidiary of KYORITSU CO.,LTD."
"Sep. 29, 2022","THE SHIZUOKA BANK,LTD.",8355,Prime,"Becoming a wholly owned subsidiary of Shizuoka Financial Group,Inc."
"Sep. 29, 2022","The Chugoku Bank,Limited",8382,Prime,"Becoming a wholly owned subsidiary of Chugin Financial Group,Inc."
"Sep. 29, 2022","The Iyo Bank,Ltd.",8385,Prime,"Becoming a wholly owned subsidiary of Iyogin Holdings,Inc."
"Sep. 29, 2022","The Aichi Bank,Ltd.",8527,Prime,"Becoming a wholly owned subsidiary of Aichi Financial Group,Inc."
"Sep. 29, 2022","The Chukyo Bank,Limited",8530,Prime,"Becoming a wholly owned subsidiary of Aichi Financial Group,Inc."
"Sep. 01, 2022",Full Speed Inc.,2159,Standard,Reverse stock split
