Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
14770,iShares MSCI Japan Minimum Volatility (ex-REITs) ETF,ETFs,-,-,-,,,Stock prices,-
14780,iShares MSCI Japan High Dividend ETF,ETFs,-,-,-,,,Stock prices,-
14790,iFreeETF MSCI Japan Human and Physical Investment Index,ETFs,-,-,-,,,Stock prices,-
147A0,"SORACOM,INC.",Growth,Information & Communication,March,March,,,Stock prices,2014/11/10
14800,NEXT FUNDS Nomura Enterprise Value Allocation Index Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
14810,Listed Index Fund Japanese Economy Contributor Stocks,ETFs,-,-,-,,,Stock prices,-
14820,iShares Core 7-10 Year US Treasury Bond JPY Hedged ETF,ETFs,-,-,-,,,Stock prices,-
14830,iShares JPX/S&P CAPEX & Human Capital ETF,ETFs,-,-,-,,,Stock prices,-
14840,One ETF JPX/S&P CAPEX & Human Capital Index,ETFs,-,-,-,,,Stock prices,-
14850,MAXIS JAPAN Proactive Investment in Physical and Human Capital 200 Index ETF,ETFs,-,-,-,,,Stock prices,-
14860,Listed Index Fund US Bond (No Currency Hedge),ETFs,-,-,-,,,Stock prices,-
14870,Listed Index Fund US Bond (Currency Hedge),ETFs,-,-,-,,,Stock prices,-
14880,iFreeETF Tokyo Stock Exchange REIT Index,ETFs,-,-,-,,,Stock prices,-
14890,NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50 Index Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
148A0,"HATCH WORK CO.,LTD.",Growth,Information & Communication,December,December,,,Stock prices,2000/06/26
14900,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility (Beta Hedged),ETFs,-,-,-,,,Stock prices,-
14910,"Chugai Mining Co.,Ltd.",Standard,Nonferrous Metals,March,March,,,Stock prices,1932/05/02
14930,One ETF JPX-Nikkei Mid Small,ETFs,-,-,-,,,Stock prices,-
14940,One ETF High Dividend Japan Equity,ETFs,-,-,-,,,Stock prices,-
14950,Listed Index Fund Asian REIT,ETFs,-,-,-,,,Stock prices,-
14960,iShares USD Investment Grade Corporate Bond JPY Hedged ETF,ETFs,-,-,-,,,Stock prices,-
14970,iShares USD High Yield Corporate Bond JPY Hedged ETF,ETFs,-,-,-,,,Stock prices,-
14980,One ETF ESG,ETFs,-,-,-,,,Stock prices,-
14990,MAXIS Japan Equity High Dividend 70 Market Neutral ETF,ETFs,-,-,-,,,Stock prices,-
149A0,"Thinca Co.,Ltd.",Growth,Information & Communication,December,December,,,Stock prices,2014/01/08
150A0,"JSH Co.,Ltd.",Growth,Services,March,March,,,Stock prices,2016/04/04
15140,"Sumiseki Holdings,Inc.",Standard,Mining,March,March,,,Stock prices,2008/10/01
15150,"Nittetsu Mining Co.,Ltd.",Prime,Mining,March,March,,,Stock prices,1939/05/20
15180,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",Prime,Mining,March,March,,,Stock prices,1913/01/25
151A0,Dive Inc.,Growth,Services,June,June,,,Stock prices,2002/03/29
152A0,"OPTY CO.,LTD.",TOKYO PRO Market,Wholesale Trade,February,February,,,Stock prices,1986/09/09
153A0,Caulis Inc.,Growth,Information & Communication,December,December,,,Stock prices,2015/12/04
15400,Japan Physical Gold ETF,ETFs,-,-,-,,,Stock prices,-
15410,Japan Physical Platinum ETF,ETFs,-,-,-,,,Stock prices,-
15420,Japan Physical Silver ETF,ETFs,-,-,-,,,Stock prices,-
15430,Japan Physical Palladium ETF,ETFs,-,-,-,,,Stock prices,-
15450,NEXT FUNDS NASDAQ-100(R) (Unhedged) Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
15460,NEXT FUNDS DJIA (Unhedged) Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
15470,Listed Index Fund US Equity (S&P500),ETFs,-,-,-,,,Stock prices,-
154A0,GAIA Inc.,TOKYO PRO Market,Other Financing Business,December,December,,,Stock prices,2006/02/14
15500,MAXIS Global Equity (MSCI Kokusai) ETF,ETFs,-,-,-,,,Stock prices,-
15510,TSE Standard Top 20 ETF,ETFs,-,-,-,,,Stock prices,-
15540,Listed Index Fund World Equity (MSCI ACWI) ex Japan,ETFs,-,-,-,,,Stock prices,-
15550,Listed Index Fund Australian REIT (S&P/ASX200 A-REIT),ETFs,-,-,-,,,Stock prices,-
15570,SPDR S&P500 ETF Trust,ETFs,-,-,-,,,Stock prices,-
15590,NEXT FUNDS Thai Stock SET50 Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
155A0,"Information Strategy and Technology Co.,Ltd.",Growth,Information & Communication,December,December,,,Stock prices,2009/01/23
15600,NEXT FUNDS FTSE Bursa Malaysia KLCI Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
15630,TSE Growth Core ETF,ETFs,-,-,-,,,Stock prices,-
15660,Listed Index Fund Emerging Bond,ETFs,-,-,-,,,Stock prices,-
15680,TOPIX Bull 2x ETF,ETFs,-,-,-,,,Stock prices,-
15690,TOPIX Bear -1x ETF,ETFs,-,-,-,,,Stock prices,-
156A0,Material Group Inc.,Growth,Services,August,August,,,Stock prices,2014/08/18
15700,NEXT FUNDS Nikkei 225 Leveraged Index Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
15710,NEXT FUNDS Nikkei 225 Inverse Index Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
15720,China Bull 2x HSCEI ETF,ETFs,-,-,-,,,Stock prices,-
15730,China Bear -1x HSCEI ETF,ETFs,-,-,-,,,Stock prices,-
15770,NEXT FUNDS Nomura Japan Equity High Dividend 70 Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
15780,Listed Index Fund Nikkei 225 (Mini),ETFs,-,-,-,,,Stock prices,-
15790,Nikkei 225 Bull 2x ETF,ETFs,-,-,-,,,Stock prices,-
157A0,Green Monster Inc.,Growth,Services,June,June,,,Stock prices,2013/07/29
15800,Nikkei 225 Bear -1x ETF,ETFs,-,-,-,,,Stock prices,-
15850,iFreeETF TOPIX Ex-Financials,ETFs,-,-,-,,,Stock prices,-
15860,Listed Index Fund TOPIX Ex-Financials,ETFs,-,-,-,,,Stock prices,-
158A0,"Exseli Co,Ltd.",TOKYO PRO Market,Retail Trade,December,December,,,Stock prices,1991/07/29
15910,NEXT FUNDS JPX-Nikkei Index 400 Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
15920,Listed Index Fund JPX-Nikkei Index 400,ETFs,-,-,-,,,Stock prices,-
15930,MAXIS JPX-Nikkei Index 400 ETF,ETFs,-,-,-,,,Stock prices,-
15950,NZAM ETF J-REIT Index,ETFs,-,-,-,,,Stock prices,-
15960,NZAM ETF TOPIX Ex-Financials,ETFs,-,-,-,,,Stock prices,-
15970,MAXIS J-REIT ETF,ETFs,-,-,-,,,Stock prices,-
15990,iFreeETF JPX-Nikkei400,ETFs,-,-,-,,,Stock prices,-
159A0,NEXT FUNDS JPX Prime 150 Index Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
16050,INPEX CORPORATION,Prime,Mining,December,December,,,Stock prices,2006/04/03
160A0,"As Partners CO.,LTD.",Standard,Services,March,March,,,Stock prices,2004/11/02
16150,NEXT FUNDS TOPIX Banks Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
16170,NEXT FUNDS TOPIX-17 FOODS ETF,ETFs,-,-,-,,,Stock prices,-
16180,NEXT FUNDS TOPIX-17 ENERGY RESOURCES ETF,ETFs,-,-,-,,,Stock prices,-
16190,NEXT FUNDS TOPIX-17 CONSTRUCTION & MATERIALS ETF,ETFs,-,-,-,,,Stock prices,-
161A0,"Mitsuba Co.,Ltd.",TOKYO PRO Market,Services,July,July,,,Stock prices,1991/03/28
16200,NEXT FUNDS TOPIX-17 RAW MATERIALS & CHEMICALS ETF,ETFs,-,-,-,,,Stock prices,-
16210,NEXT FUNDS TOPIX-17 PHARMACEUTICAL ETF,ETFs,-,-,-,,,Stock prices,-
16220,NEXT FUNDS TOPIX-17 AUTOMOBILES TRANSPORTATION EQUIPMENT ETF,ETFs,-,-,-,,,Stock prices,-
16230,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,ETFs,-,-,-,,,Stock prices,-
16240,NEXT FUNDS TOPIX-17 MACHINERY ETF,ETFs,-,-,-,,,Stock prices,-
16250,NEXT FUNDS TOPIX-17 ELECTRIC & PRECISION INSTRUMENTS ETF,ETFs,-,-,-,,,Stock prices,-
16260,"NEXT FUNDS TOPIX-17 IT & SERVICES,OTHERS ETF",ETFs,-,-,-,,,Stock prices,-
16270,NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF,ETFs,-,-,-,,,Stock prices,-
16280,NEXT FUNDS TOPIX-17 TRANSPORTATION & LOGISTICS ETF,ETFs,-,-,-,,,Stock prices,-
16290,NEXT FUNDS TOPIX-17 COMMERCIAL & WHOLESALE TRADE ETF,ETFs,-,-,-,,,Stock prices,-
162A0,AI Select Megatrend Japan Equity Net Return ETN,ETNs,-,-,-,,,Stock prices,-
16300,NEXT FUNDS TOPIX-17 RETAIL TRADE ETF,ETFs,-,-,-,,,Stock prices,-
16310,NEXT FUNDS TOPIX-17 BANKS ETF,ETFs,-,-,-,,,Stock prices,-
16320,NEXT FUNDS TOPIX-17 FINANCIALS (EX BANKS) ETF,ETFs,-,-,-,,,Stock prices,-
16330,NEXT FUNDS TOPIX-17 REAL ESTATE ETF,ETFs,-,-,-,,,Stock prices,-
163A0,Semiconductor Focus Japan Equity Net Return ETN,ETNs,-,-,-,,,Stock prices,-
164A0,"Applepark.CO.,LTD.",TOKYO PRO Market,Real Estate,March,March,,,Stock prices,1991/08/07
16510,iFreeETF TOPIX High Dividend Yield 40 Index,ETFs,-,-,-,,,Stock prices,-
16520,iFreeETF MSCI Japan Empowering Women Index (WIN),ETFs,-,-,-,,,Stock prices,-
16530,iFreeETF MSCI Japan ESG Select Leaders Index,ETFs,-,-,-,,,Stock prices,-
