Date of Listing (Date of Listing Approval),Issue Name*3,Code,Outline *4,Written Confirmation *6,Indicated Range (JPY),Public Offering (thous. shares),Trading Unit,Market Segment,Securities Report (part I) *5,CG Report,Offering Price (JPY),Secondary Distribution (thous. shares)*7,Earnings Report *8
"Jul. 02, 2024  (May 27, 2024)","PRISM BioLab Co.,LTD",206A,,,-,4000,100,Growth,,,-,(OA600),-
"Jul. 01, 2024  (Jun. 03, 2024)",KOZO KEIKAKU ENGINEERING HOLDINGS Inc. **,208A,,,-,-,100,Standard,,-,-,-,-
"Jun. 28, 2024  (May 24, 2024)",LOGOS HOLDINGS INC.,205A,,,-,50,100,Growth,,,-,"1,346.4(OA209.4)",-
"Jun. 27, 2024  (May 23, 2024)","MAMEZO DIGITAL HOLDINGS CO.,LTD.",202A,,,-,50,100,Growth,,,-,"4,480(OA607.5)",-
"Jun. 21, 2024  (May 17, 2024)","MFS,Inc.",196A,,,370-400,2700,100,Growth,,,-,"1,624.2(OA648.6)",-
"Jun. 20, 2024  (May 16, 2024)","WOLVES HAND Co.,Ltd.",194A,,,755-770,50,100,Growth,,,-,863.1(OA136.9),-
"Jun. 20, 2024  (May 17, 2024)","TAUNS Laboratories,Inc.",197A,,,440-460,-,100,Standard,,,-,"21,090(OA3,163.5)",-
"Jun. 20, 2024  (May 17, 2024)",PostPrime Inc.,198A,,,430-450,100,100,Growth,,,-,"2,830(OA439.5)",-
"Jun. 19, 2024  (May 16, 2024)",Ricecurry Inc.,195A,,,"1,240-1,420",229.5,100,Growth,,,-,476.6(OA105.9),-
"Jun. 18, 2024  (May 15, 2024)",Integroup Inc.,192A,,,"3,830-3,960",50,100,Growth,,,-,480.2(OA79.4),-
"Jun. 14, 2024  (May 10, 2024)",Chordia Therapeutics Inc.,190A,,,143-153,9100,100,Growth,,,153,"(OA1,365)",-
"Jun. 11, 2024  (May 08, 2024)","D&M COMPANY CO.,LTD",189A,,,"950-1,000",580,100,Growth,,,1000,100(OA102),-
"Jun. 05, 2024  (May 01, 2024)",Astroscale Holdings Inc.,186A,,,750-850,22169.2,100,Growth,,,850,"2,760(OA3,124.9)",
"Jun. 03, 2024  (May 01, 2024)","SAMTY HOLDINGS Co.,Ltd. **",187A,,,-,-,100,Prime,,-,-,-,-
"May. 28, 2024  (Apr. 22, 2024)","Manabi-aid Co.,Ltd.",184A,,,910-970,180,100,Growth,,,970,552(OA109.8),
"Apr. 25, 2024  (Mar. 22, 2024)","Kohjin Bio Co.,Ltd.",177A,,,"1,840-1,900",850,100,Growth,,,1900,(OA127.5),
"Apr. 24, 2024  (Mar. 21, 2024)",Rezil Inc.,176A,,,"1,100-1,200",150,100,Growth,,,1200,"5,005.1(OA773.2)",
"Apr. 16, 2024  (Mar. 13, 2024)","Will Smart Co.,LTD.",175A,,,"1,320-1,380",200,100,Growth,,,1656,472(OA100.8),
"Apr. 11, 2024  (Mar. 07, 2024)",Hammock Inc.,173A,,,"1,940-2,060",50,100,Growth,,,2060,"1,277(OA199)",
"Apr. 08, 2024  (Mar. 04, 2024)",itamiarts inc.,168A,,,"1,580-1,600",420,100,Growth,,,1600,150(OA85.5),
"Apr. 04, 2024  (Feb. 29, 2024)","As Partners CO.,LTD.",160A,,,"1,890-1,920",393,100,Standard,,,1920,517(OA136.5),
"Apr. 01, 2024  (Mar. 01, 2024)",SBI RHEOS HIFUMI Inc. **,165A,,,-,-,100,Growth,,-,-,-,-
"Apr. 01, 2024  (Mar. 01, 2024)",TASUKI Holdings Inc. **,166A,,,-,-,100,Growth,,-,-,-,-
"Apr. 01, 2024  (Mar. 01, 2024)","Ryoyo Ryosan Holdings,Inc. **",167A,,,-,-,100,Prime,,-,-,-,-
"Mar. 29, 2024  (Feb. 22, 2024)",Material Group Inc.,156A,,,"1,100-1,180",50,100,Growth,,,1180,"4,837.1(OA733)",
"Mar. 29, 2024  (Feb. 26, 2024)",Green Monster Inc.,157A,,,920-980,750,100,Growth,,,980,250(OA150),
