Date of Listing (Date of Listing Approval),Issue Name*3,Code,Outline *4,Written Confirmation *6,Indicated Range (JPY),Public Offering (thous. shares),Trading Unit
Date of Listing (Date of Listing Approval),Issue Name*3,Market Segment,Securities Report (part I) *5,CG Report,Offering Price (JPY),Secondary Distribution (thous. shares)*7,Earnings Report *8
"Dec. 27, 2023  (Nov. 24, 2023)","yutori,Inc.",5892,,,"2,420-2,520",85,100
"Dec. 27, 2023  (Nov. 24, 2023)","yutori,Inc.",Growth,,,2520,485(OA85.5),
"Dec. 25, 2023  (Nov. 21, 2023)",Nalnet Communications Inc.,5870,,,"870-1,040",56,100
"Dec. 25, 2023  (Nov. 21, 2023)",Nalnet Communications Inc.,Growth,,,1040,"2,241.9(OA344.6)",
"Dec. 25, 2023  (Dec. 05, 2023)","ASNOVA Co.,Ltd.",9223,,,-,50,100
"Dec. 25, 2023  (Dec. 05, 2023)","ASNOVA Co.,Ltd.",Growth,,,1091,430(OA72),
"Dec. 22, 2023  (Nov. 17, 2023)","Human Technologies,Inc.",5621,,,"940-1,020",1000,100
"Dec. 22, 2023  (Nov. 17, 2023)","Human Technologies,Inc.",Growth,,,1224,"2,288(OA493.2)",
"Dec. 22, 2023  (Nov. 20, 2023)","WASEDA GAKUSHUKENKYUKAI CO.,LTD.",5869,,,910-970,150,100
"Dec. 22, 2023  (Nov. 20, 2023)","WASEDA GAKUSHUKENKYUKAI CO.,LTD.",Standard,,,970,"3,260.6(OA511.5)",
"Dec. 21, 2023  (Nov. 17, 2023)","MRSO.,Inc",5619,,,"2,110-2,260",75,100
"Dec. 21, 2023  (Nov. 17, 2023)","MRSO.,Inc",Growth,,,2260,694.1(OA115.3),
"Dec. 20, 2023  (Nov. 16, 2023)",Nyle Inc.,5618,,,"1,620-1,680",350,100
"Dec. 20, 2023  (Nov. 16, 2023)",Nyle Inc.,Growth,,,1680,970.8(OA198.1),
"Dec. 20, 2023  (Nov. 15, 2023)",Rococo Co.Ltd.,5868,,,900-940,900,100
"Dec. 20, 2023  (Nov. 15, 2023)",Rococo Co.Ltd.,Standard,,,1128,450(OA202.5),
"Dec. 19, 2023  (Nov. 15, 2023)","ES NETWORKS CO.,LTD.",5867,,,650-730,50,100
"Dec. 19, 2023  (Nov. 15, 2023)","ES NETWORKS CO.,LTD.",Growth,,,730,300(OA52.5),
"Dec. 18, 2023  (Nov. 13, 2023)","Ame Kaze Taiyo,Inc.",5616,,,840-870,446.3,100
"Dec. 18, 2023  (Nov. 13, 2023)","Ame Kaze Taiyo,Inc.",Growth,,,1044,90(OA62.5),
"Dec. 15, 2023  (Nov. 10, 2023)",S&J Corporation,5599,,,"1,200-1,320",480,100
"Dec. 15, 2023  (Nov. 10, 2023)",S&J Corporation,Growth,,,1320,"1,110(OA238.5)",
"Dec. 15, 2023  (Nov. 10, 2023)","Kairikiya Co.,Ltd.",5891,,,"1,300-1,400",1200,100
"Dec. 15, 2023  (Nov. 10, 2023)","Kairikiya Co.,Ltd.",Standard,,,1400,250(OA217.5),
"Dec. 12, 2023  (Nov. 08, 2023)","OutlookConsulting Co.,Ltd.",5596,,,"1,700-1,800",50,100
"Dec. 12, 2023  (Nov. 08, 2023)","OutlookConsulting Co.,Ltd.",Growth,,,1800,"1,812.8(OA279.4)",
"Dec. 12, 2023  (Nov. 08, 2023)","Blue innovation Co.,Ltd.",5597,,,"1,220-1,320",550,100
"Dec. 12, 2023  (Nov. 08, 2023)","Blue innovation Co.,Ltd.",Growth,,,1584,196.2(OA111),
"Dec. 06, 2023  (Oct. 31, 2023)","Institute for Q-shu Pioneers of Space,Inc.",5595,,,380-390,8918.6,100
"Dec. 06, 2023  (Oct. 31, 2023)","Institute for Q-shu Pioneers of Space,Inc.",Growth,,,390,"(OA1,337.7)",
"Dec. 04, 2023  (Oct. 30, 2023)","ASMARQ Co.,Ltd.",4197,,,"2,150-2,300",85,100
"Dec. 04, 2023  (Oct. 30, 2023)","ASMARQ Co.,Ltd.",Standard,,,2300,425(OA76.5),
"Nov. 22, 2023  (Oct. 19, 2023)","VALUE CREATION CO.,LTD.",9238,,,"1,610-1,790",105,100
"Nov. 22, 2023  (Oct. 19, 2023)","VALUE CREATION CO.,LTD.",Growth,,,1790,198(OA45.4),
"Nov. 16, 2023  (Oct. 12, 2023)","Japan Eyewear Holdings Co.,Ltd.",5889,,,"1,330-1,360",1400,100
"Nov. 16, 2023  (Oct. 12, 2023)","Japan Eyewear Holdings Co.,Ltd.",Standard,,,1360,"5,208(OA991.1)",
"Nov. 08, 2023  (Oct. 05, 2023)","DAIWA CYCLE CO.,LTD.",5888,,,"1,530-1,610",600,100
"Nov. 08, 2023  (Oct. 05, 2023)","DAIWA CYCLE CO.,LTD.",Growth,,,1610,200(OA120),
"Oct. 27, 2023  (Sep. 22, 2023)",DreamArts Corporation,4811,,,"2,340-2,660",220,100
"Oct. 27, 2023  (Sep. 22, 2023)",DreamArts Corporation,Growth,,,2660,572.1(OA118.8),
"Oct. 26, 2023  (Sep. 21, 2023)","Emimen Co.,Ltd.",9237,,,"1,140-1,240",280,100
"Oct. 26, 2023  (Sep. 21, 2023)","Emimen Co.,Ltd.",Growth,,,1240,150(OA64.5),
"Oct. 25, 2023  (Sep. 22, 2023)","ZENHOREN CO.,LTD.",5845,,,560-600,2549.2,100
"Oct. 25, 2023  (Sep. 22, 2023)","ZENHOREN CO.,LTD.",Standard,,,600,"3,406.8(OA893.4)",
"Oct. 25, 2023  (Sep. 21, 2023)",KOKUSAI ELECTRIC CORPORATION,6525,,,"1,830-1,840",-,100
"Oct. 25, 2023  (Sep. 21, 2023)",KOKUSAI ELECTRIC CORPORATION,Prime,,,1840,"58,847.6(OA8,827.1)",
"Oct. 24, 2023  (Sep. 20, 2023)",Japan M&A Solution Incorporated,9236,,,"1,200-1,340",180,100
"Oct. 24, 2023  (Sep. 20, 2023)",Japan M&A Solution Incorporated,Growth,,,1340,202.4(OA57.3),
"Oct. 23, 2023  (Sep. 19, 2023)","Ureru Net Advertising Co.,Ltd.",9235,,,830-910,450,100
"Oct. 23, 2023  (Sep. 19, 2023)","Ureru Net Advertising Co.,Ltd.",Growth,,,910,450(OA135),
"Oct. 17, 2023  (Sep. 12, 2023)","K Pharma,Inc.",4896,,,"900-1,040",1680,100
"Oct. 17, 2023  (Sep. 12, 2023)","K Pharma,Inc.",Growth,,,950,(OA252),
"Oct. 04, 2023  (Aug. 30, 2023)","Kusurinomadoguchi,Inc.",5592,,,"1,600-1,700",1800,100
"Oct. 04, 2023  (Aug. 30, 2023)","Kusurinomadoguchi,Inc.",Growth,,,1700,"1,000(OA420)",
"Oct. 04, 2023  (Aug. 30, 2023)",Caster Co.Ltd.,9331,,,720-760,350,100
"Oct. 04, 2023  (Aug. 30, 2023)",Caster Co.Ltd.,Growth,,,760,(OA52.5),
