Date of Listing,Date of Listing Approval,Issue Name*2,Code,Market Segment,Outline of Listing Issue*3
"Dec. 29, 2020","Nov. 25, 2020","ONDECK Co.,Ltd.",7360,Mothers,
"Dec. 28, 2020","Nov. 24, 2020","Kringle Pharma,Inc.",4884,Mothers,
"Dec. 25, 2020","Nov. 20, 2020","TOWA Hi SYSTEM CO.,LTD.",4172,JASDAQ Standard,
"Dec. 25, 2020","Nov. 20, 2020",FunPep Company Limited,4881,Mothers,
"Dec. 25, 2020","Nov. 19, 2020",SANEI LTD.,6230,2nd Section,
"Dec. 24, 2020","Nov. 19, 2020","Global Information,Inc.",4171,JASDAQ Standard,
"Dec. 24, 2020","Nov. 19, 2020","Tokyo Tsushin,Inc.",7359,Mothers,
"Dec. 23, 2020","Nov. 18, 2020",ENECHANGE Ltd.,4169,Mothers,
"Dec. 23, 2020","Nov. 19, 2020","Koukandekirukun,Inc.",7695,Mothers,
"Dec. 22, 2020","Nov. 13, 2020","Yappli,Inc.",4168,Mothers,
"Dec. 22, 2020","Nov. 18, 2020","Kaizen Platform,Inc.",4170,Mothers,
"Dec. 22, 2020","Nov. 18, 2020",WealthNavi Inc.,7342,Mothers,
"Dec. 21, 2020","Nov. 16, 2020",Poppins Holdings Inc.,7358,1st Section,
"Dec. 21, 2020","Nov. 16, 2020",itsumo.inc.,7694,Mothers,
"Dec. 18, 2020","Nov. 13, 2020",Kokopelli Inc.,4167,Mothers,
"Dec. 18, 2020","Nov. 16, 2020",Inbound Tech Inc.,7031,Mothers,
"Dec. 17, 2020","Nov. 12, 2020",BETREND CORPORATION,4020,Mothers,
"Dec. 17, 2020","Nov. 12, 2020","PLAID,Inc.",4165,Mothers,
"Dec. 17, 2020","Nov. 13, 2020",Cacco Inc.,4166,Mothers,
"Dec. 17, 2020","Nov. 12, 2020","LIBERTA CO.,LTD.",4935,JASDAQ Standard,
"Dec. 17, 2020","Nov. 12, 2020",OKUMURA ENGINEERING corp.,6229,2nd Section,
"Dec. 16, 2020","Nov. 11, 2020",BALMUDA Inc.,6612,Mothers,
"Dec. 16, 2020","Nov. 11, 2020",Fast Fitness Japan Incorporated,7092,Mothers,
"Dec. 16, 2020","Nov. 11, 2020",Roland Corporation,7944,1st Section,
"Dec. 15, 2020","Nov. 11, 2020","Stamen Co.,Ltd.",4019,Mothers,
"Dec. 15, 2020","Nov. 10, 2020","BEING HOLDINGS CO.,LTD.",9145,2nd Section,
"Nov. 30, 2020","Oct. 23, 2020",Vario Secure Inc.,4494,2nd Section,
"Nov. 27, 2020","Oct. 23, 2020",CREEMA LTD.,4017,Mothers,
"Nov. 26, 2020","Oct. 21, 2020","GEOCODE CO.,Ltd.",7357,JASDAQ Standard,
"Nov. 25, 2020","Oct. 19, 2020","MIT Holdings CO.,LTD.",4016,JASDAQ Standard,
"Nov. 19, 2020","Oct. 14, 2020",arara inc.,4015,Mothers,
"Oct. 30, 2020","Sep. 28, 2020",Retty Inc.,7356,Mothers,
"Oct. 28, 2020","Sep. 24, 2020","Premier Anti-Aging Co.,Ltd.",4934,Mothers,
"Oct. 28, 2020","Sep. 24, 2020","SAKURASAKU PLUS,Co.,Ltd.",7097,Mothers,
"Oct. 27, 2020","Sep. 23, 2020","KARADANOTE,INC.",4014,Mothers,
"Oct. 16, 2020","Sep. 10, 2020",EARTH INFINITY CO.LTD.,7692,JASDAQ Standard,
"Oct. 13, 2020","Sep. 07, 2020","Nittsusystem Co.,Ltd.",4013,Mothers,
"Oct. 05, 2020","Aug. 31, 2020",Direct Marketing MiX Inc.,7354,1st Section,
"Oct. 02, 2020","Aug. 27, 2020",TASUKI Corporation,2987,Mothers,
"Oct. 01, 2020","Sep. 01, 2020","Hirogin Holdings,Inc. **",7337,1st Section,
"Oct. 01, 2020","Sep. 01, 2020",INV Inc. **,7338,JASDAQ Standard,
"Oct. 01, 2020","Sep. 01, 2020","ipet Holdings,Inc. **",7339,Mothers,
"Sep. 30, 2020","Aug. 27, 2020","AXIS CO.,LTD.",4012,Mothers,
"Sep. 29, 2020","Aug. 24, 2020","Headwaters Co.,Ltd",4011,Mothers,
"Sep. 28, 2020","Aug. 21, 2020",rakumo Inc.,4060,Mothers,
"Sep. 25, 2020","Aug. 20, 2020","STI Foods Holdings,Inc.",2932,2nd Section,
"Sep. 25, 2020","Aug. 20, 2020","I-ne CO.,LTD.",4933,Mothers,
"Sep. 24, 2020","Aug. 19, 2020","Toyokumo,Inc.",4058,Mothers,
"Sep. 24, 2020","Aug. 20, 2020","Magmag,Inc.",4059,JASDAQ Standard,
"Sep. 24, 2020","Aug. 19, 2020","GRAPHICO,Inc.",4930,JASDAQ Standard,
"Sep. 17, 2020","Aug. 14, 2020","YUKIGUNI MAITAKE CO.,LTD.",1375,1st Section,
"Aug. 25, 2020","Jul. 20, 2020","Interfactory,Inc.",4057,Mothers,
"Aug. 20, 2020","Jul. 10, 2020",Neural Pocket Inc.,4056,Mothers,
"Aug. 07, 2020","Jul. 03, 2020",T&S inc.,4055,Mothers,
"Aug. 03, 2020","Jun. 26, 2020",Modalis Therapeutics Corporation,4883,Mothers,
"Jul. 31, 2020","Jun. 26, 2020",Sun* Inc.,4053,Mothers,
"Jul. 31, 2020","Jun. 26, 2020","Nihon Jyoho Create Co.,Ltd.",4054,Mothers,
"Jul. 15, 2020","Jun. 11, 2020","GMO Financial Gate,Inc.",4051,Mothers,
"Jul. 15, 2020","Jun. 11, 2020","i3 Systems,Inc.",4495,Mothers,
"Jul. 15, 2020","Jun. 12, 2020","KIYO Learning Co.,Ltd.",7353,Mothers,
"Jul. 10, 2020","Jun. 10, 2020","Speee,Inc.",4499,JASDAQ Standard,
"Jul. 07, 2020","Jun. 04, 2020","Branding Engineer CO.,LTD.",7352,Mothers,
"Jul. 01, 2020","Jun. 01, 2020","LA Holdings Co.,Ltd. **",2986,JASDAQ Growth,
"Jun. 30, 2020","May 27, 2020",Goodpatch Inc.,7351,Mothers,
"Jun. 29, 2020","May 25, 2020","EBRAINS,INC.",6599,JASDAQ Standard,
"Jun. 26, 2020","May 22, 2020",Commerce One Holdings Inc.,4496,Mothers,
"Jun. 24, 2020","May 21, 2020",Ficha Inc.,4052,Mothers,
"Jun. 24, 2020","May 21, 2020",Locoguide Inc.,4497,Mothers,
"Jun. 24, 2020","May 25, 2020",Copa Corporation Inc.,7689,Mothers,
"Apr. 28, 2020","Apr. 07, 2020","ECOMIC CO.,LTD",3802,JASDAQ Standard,
"Apr. 06, 2020","Mar. 02, 2020","Matsuya R&D Co.,Ltd",7317,Mothers,
"Apr. 01, 2020","Mar. 02, 2020","A.D.Works Group Co.,Ltd. **",2982,1st Section,
"Mar. 31, 2020","Feb. 25, 2020","Macbee Planet,Inc.",7095,Mothers,
"Mar. 30, 2020","Feb. 25, 2020",NexTone Inc.,7094,Mothers,
"Mar. 26, 2020","Feb. 20, 2020","Cyber Security Cloud,Inc.",4493,Mothers,
